Date,Mentions,Engagements
2016-12-13,92,36
2016-12-14,97,50
2016-12-15,175,63
2016-12-16,150,90
2016-12-17,81,72
2016-12-18,76,42
2016-12-19,84,63
2016-12-20,65,40
2016-12-21,73,20
2016-12-22,99,21
2016-12-23,73,17
2016-12-24,49,9
2016-12-25,43,35
2016-12-26,45,10
2016-12-27,67,20
2016-12-28,87,18
2016-12-29,104,18
2016-12-30,115,22
2016-12-31,68,16
2017-01-01,54,6
2017-01-02,70,41
2017-01-03,99,22
2017-01-04,90,22
2017-01-05,185,105
2017-01-06,182,100
2017-01-07,159,46
2017-01-08,97,49
2017-01-09,102,52
2017-01-10,184,27
2017-01-11,109,34
2017-01-12,175,58
2017-01-13,94,66
2017-01-14,110,78
2017-01-15,72,26
2017-01-16,117,33
2017-01-17,107,36
2017-01-18,132,43
2017-01-19,190,53
2017-01-20,109,39
2017-01-21,65,30
2017-01-22,77,25
2017-01-23,219,54
2017-01-24,112,37
2017-01-25,94,37
2017-01-26,71,55
2017-01-27,92,67
2017-01-28,93,41
2017-01-29,75,21
2017-01-30,107,37
2017-01-31,103,47
2017-02-01,118,36
2017-02-02,94,49
2017-02-03,95,15
2017-02-04,95,25
2017-02-05,94,117
2017-02-06,94,34
2017-02-07,81,29
2017-02-08,94,48
2017-02-09,117,43
2017-02-10,99,42
2017-02-11,95,16
2017-02-12,49,37
2017-02-13,110,25
2017-02-14,73,22
2017-02-15,72,21
2017-02-16,74,27
2017-02-17,120,33
2017-02-18,105,21
2017-02-19,97,19
2017-02-20,95,25
2017-02-21,94,29
2017-02-22,198,27
2017-02-23,106,29
2017-02-24,103,58
2017-02-25,57,17
2017-02-26,74,42
2017-02-27,109,114
2017-02-28,120,52
2017-03-01,83,37
2017-03-02,119,36
2017-03-03,157,44
2017-03-04,123,97
2017-03-05,137,46
2017-03-06,197,48
2017-03-07,134,44
2017-03-08,106,36
2017-03-09,95,43
2017-03-10,116,50
2017-03-11,93,19
2017-03-12,83,37
2017-03-13,114,23
2017-03-14,107,32
2017-03-15,204,66
2017-03-16,203,44
2017-03-17,105,17
2017-03-18,119,21
2017-03-19,86,25
2017-03-20,24,15
