Date,Mentions,Engagements
2016-12-15,8,16
2016-12-16,4,8
2016-12-17,1,1
2016-12-18,2,4
2016-12-19,4,10
2016-12-20,7,4
2016-12-21,5,4
2016-12-22,12,12
2016-12-23,3,3
2016-12-24,3,3
2016-12-25,22,9
2016-12-26,9,13
2016-12-27,8,9
2016-12-28,2,8
2016-12-29,3,1
2016-12-30,4,4
2016-12-31,0,0
2017-01-01,2,0
2017-01-02,4,1
2017-01-03,8,12
2017-01-04,15,4
2017-01-05,3,3
2017-01-06,10,7
2017-01-07,5,3
2017-01-08,3,5
2017-01-09,2,8
2017-01-10,5,11
2017-01-11,3,7
2017-01-12,6,3
2017-01-13,5,17
2017-01-14,2,7
2017-01-15,3,3
2017-01-16,2,5
2017-01-17,12,15
2017-01-18,14,14
2017-01-19,8,10
2017-01-20,13,10
2017-01-21,2,8
2017-01-22,5,5
2017-01-23,6,5
2017-01-24,9,10
2017-01-25,6,11
2017-01-26,5,11
2017-01-27,5,12
2017-01-28,2,13
2017-01-29,3,6
2017-01-30,7,8
2017-01-31,1,5
2017-02-01,3,0
2017-02-02,6,7
2017-02-03,13,7
2017-02-04,4,3
2017-02-05,5,9
2017-02-06,4,7
2017-02-07,21,17
2017-02-08,5,7
2017-02-09,5,13
2017-02-10,8,15
2017-02-11,0,2
2017-02-12,2,1
2017-02-13,6,7
2017-02-14,2,4
2017-02-15,4,10
2017-02-16,12,6
2017-02-17,4,4
2017-02-18,1,1
2017-02-19,2,1
2017-02-20,4,12
2017-02-21,10,14
2017-02-22,11,19
2017-02-23,7,8
2017-02-24,7,5
2017-02-25,1,3
2017-02-26,4,11
2017-02-27,4,12
2017-02-28,5,1
2017-03-01,8,2
2017-03-02,15,11
2017-03-03,4,1
2017-03-04,1,3
2017-03-05,1,2
2017-03-06,1,4
2017-03-07,1,5
2017-03-08,9,12
2017-03-09,2,1
2017-03-10,1,2
2017-03-11,2,2
2017-03-12,1,2
2017-03-13,7,28
2017-03-14,10,14
2017-03-15,11,11
2017-03-16,12,8
2017-03-17,15,2
2017-03-18,9,1
2017-03-19,2,6
2017-03-20,2,3
